en,id
just do it .,lakukan saja .
let tom in .,biarkan tom masuk .
let tom in .,ijinkan tom masuk .
let me pay .,biarkan saya yang membayar .
let me see .,coba saya lihat .
let me try .,biar saya coba .
look at me .,lihat saya .
look at me .,lihat aku .
no kidding ?,beneran ?
no one ran .,tidak ada yang berlari .
no problem !,tidak masalah !
no problem .,tidak masalah .
nobody ran .,tidak ada yang berlari .
"oh ,  really ?","oh ,  benarkah ?"
please sit .,silakan duduk .
she smiled .,dia tersenyum .
smell this .,cium ini .
start here .,mulai dari sini .
step on it !,cepatlah !
step on it !,cepat !
that is odd .,itu aneh .
that is tea .,itu teh .
they agree .,mereka setuju .
tom agrees .,tom setuju .
tom barfed .,tom muntah .
tom danced .,tom menari .
tom did it .,tom melakukannya .
tom failed .,tom gagal .
tom farted .,tom kentut .
tom forgot .,tom lupa .
tom is big .,tom besar .
tom is fat .,tom gemuk .
tom is fun .,tom menyenangkan
tom nodded .,tom mengangguk .
tom smiles .,tom tersenyum .
tom waited .,tom menunggu .
tom was ok .,tom dalam keadaan baik .
tom yawned .,tom menguap .
tom is deaf .,tom tuli .
tom is fast .,tom cepat .
tom is home .,tom ada di rumah .
tom is home .,tom di rumah .
turn right .,belok kanan .
was he tom ?,apakah dia tom ?
we are free !,kita bebas !
we are sure .,kami yakin .
where am i ?,di mana aku ?
where am i ?,aku di mana ?
who is tom ?,tom itu siapa ?
who is she ?,dia siapa ?
who is she ?,siapa dia ?
who is next ?,selanjutnya siapa ?
are you cut ?,apa kau melakukan khitan ?
are you new ?,kamu orang baru ?
are you sad ?,apakah kamu sedih ?
be prepared .,bersiaplah !
can you see ?,kamu masih belum mengerti ?
do it later .,lakukan itu nanti .
do you bowl ?,apa kau bermain boling ?
do not blink .,jangan berkedip !
do not cheat .,jangan curang .
do not cheat .,jangan menyontek .
do not fight .,jangan bertengkar !
do not fight .,jangan berkelahi !
do not leave !,jangan pergi !
do not smoke .,jangan merokok .
do not worry .,jangan khawatir
finish this .,selesaikan ini .
follow them .,ikuti mereka .
give me one .,beri aku satu .
give me one .,beri saya sebuah .
go to sleep .,pergilah tidur .
grab a seat .,duduklah .
have a seat .,duduklah .
he has wine .,dia memiliki anggur .
he is alone .,dia sendirian .
he is crazy .,dia gila .
he is eight .,dia delapan tahun .
he is a liar .,dia pembohong .
he is coming .,dia datang .
how are you ?,apa kabar ?
how are you ?,bagaimana kabar anda ?
i also went .,saya juga pergi .
i apologize .,saya minta maaf .
i cannot fly .,saya tidak bisa terbang .
i cannot fly .,aku tidak bisa terbang .
i cannot see .,aku tidak bisa melihat .
i cannot see .,saya tidak bisa melihat .
i feel blue .,aku merasa sedih .
i feel blue .,aku sedih .
i feel numb .,aku merasa mati rasa .
i feel well .,saya baik-baik saja .
i felt dumb .,aku merasa bodoh .
i found you .,aku menemukanmu .
i got tired .,aku lelah .
i hate snow .,aku benci salju .
i have gout .,saya ada asam urat .
i have time .,aku punya waktu .
i like blue .,aku suka biru .
i like cats .,aku suka kucing .
i like math .,aku suka matematika .
i like this .,aku suka ini .
i like wine .,aku suka anggur .
i live here .,saya tinggal di sini .
i love mary .,aku mencintai mary .
i love life .,saya cinta hidup .
i need cash .,aku perlu uang .
i need help .,saya perlu bantuan .
i need help .,aku perlu bantuan .
i saw a doe .,saya melihat seekor rusa betina .
i surrender .,aku menyerah .
i surrender .,saya menyerah .
i thank you .,aku berterima kasih .
i trust him .,saya mempercayainya .
i want mine .,aku mau punyaku .
i want toys .,aku mau mainan .
i was a bum .,aku dulu gelandangan .
i was dizzy .,aku pusing .
i was right .,aku benar .
i was tired .,aku lelah .
"i went ,  too .",saya juga pergi .
i am a slave .,saya seorang budak .
i am a woman .,aku perempuan .
i am ashamed .,aku malu .
i am kidding .,aku bercanda .
i am not sad .,saya tidak sedih .
i am not shy .,saya tidak malu .
i am reading .,aku sedang membaca .
i am reading .,saya sedang membaca .
i am serious .,aku serius .
i am starved .,aku kelaparan .
i am thirsty .,aku haus .
i am too fat .,aku terlalu gemuk .
i have agreed .,kami sudah setuju .
i have failed .,aku sudah gagal .
i have failed .,aku telah gagal .
is tom sick ?,apa tom sakit ?
is tom well ?,apa tom sehat ?
it cannot be !,tidak mungkin !
it may rain .,mungkin akan turun hujan .
it is  yen .,harganya  yen .
it is a fake .,itu palsu .
it is a joke .,bercanda .
it is a moth .,itu ngengat .
it is a ring .,itu cincin .
it is enough .,sudah cukup .
it is nearby .,itu dekat .
it is purple .,warnanya ungu .
it is secret .,itu rahasia .
let is begin .,mari kita mulai .
let is do it !,mari kita melakukannya !
let is do it !,mari kita lakukan !
let is do it .,mari kita lakukan .
let is do it .,mari kita melakukannya .
let is party .,mari berpesta .
let is start !,"mari ,  kita mulai !"
let is start .,mari kita mulai .
look at tom .,lihatlah ke arah tom .
make a fist .,kepalkan tangan anda .
many thanks .,terima kasih banyak .
many thanks .,makasih banyak .
nobody came .,tidak ada yang datang .
"ok ,  you win .","oke ,  kamu menang ."
"ok ,  you win .","baiklah ,  kamu menang ."
ok .  i agree .,"oke ,  aku setuju ."
please stop !,tolong berhenti !
please stop .,tolong berhenti .
say goodbye .,ucapkan selamat tinggal .
she blushed .,ia tersipu malu .
she fainted .,dia pingsan .
she is crazy .,dia gila .
stand still !,diam di situ !
stay seated .,tetaplah duduk .
take a seat .,duduklah .
that is life .,begitulah hidup .
that is milk .,itu susu .
that is tofu .,itu tahu .
that is true .,itu benar .
they agreed .,mereka setuju .
they hugged .,mereka saling berpelukan .
they hugged .,mereka berpelukan .
they kissed .,mereka berciuman .
this is tom .,ini tom .
this is big .,ini besar .
this is ice .,ini es .
this is odd .,ini aneh .
tom blinked .,tom berkedip .
tom fainted .,tom pingsan .
tom gave up .,tom menyerah .
tom is bald .,tom botak .
tom is cool .,tom itu keren .
tom is deaf .,tom tuli .
tom is evil .,tom jahat .
tom is fast .,tom cepat .
tom is meek .,tom lemah lembut .
tom is nuts .,tom gila .
tom is rich .,tom kaya .
tom is rude .,tom adalah seorang yang kasar .
tom is sexy .,tom seksi .
tom listens .,tom mendengarkan .
tom mumbled .,tom bergumam .
tom mumbles .,tom bergumam .
tom slipped .,tom terpeleset .
tom teaches .,tom mengajar .
tom tripped .,tom tersandung .
tom vomited .,tom muntah .
tom is crazy .,tom gila .
tom is dying .,tom sekarat .
tom is flaky .,tom itu suka berpangku tangan .
tom is right .,tom benar .
tom is wrong .,tom salah .
turn on cnn .,nyalakan cnn .
we can meet .,kita bisa bertemu .
we help tom .,kami membantu tom .
we know him .,kami mengenalnya .
we will fight .,kita akan bertarung .
what a bore !,membosankan sekali !
what a pity !,sayang sekali !
what is art ?,apa itu seni ?
what is that ?,itu apa ?
what is this ?,ini apa ?
where is he ?,di mana dia ?
who are you ?,kamu siapa ?
who drew it ?,siapa yang menggambar itu ?
who said it ?,siapa yang mengatakan itu ?
who is older ?,siapa yang lebih tua ?
whose is it ?,itu punya siapa ?
you are free .,anda bebas .
you are safe .,kalian selamat .
you are thin .,kamu kurus .
are we ready ?,apakah kita siap ?
are you lame ?,apa kau pincang ?
are you okay ?,kamu tidak apa-apa ?
are you sure ?,apakah kamu yakin ?
are you sure ?,apakah anda yakin ?
are you sure ?,apa kau yakin ?
blood is red .,darah itu merah .
blood is red .,darah berwarna merah .
cut that out !,hentikan itu !
do you agree ?,apakah kamu setuju ?
do you agree ?,apakah anda setuju ?
do you agree ?,apakah kalian setuju ?
do not ask me .,jangan tanya aku .
do not go yet .,jangan pergi dulu .
do not kid me !,jangan mempermainkanku !
everyone ate .,semua orang makan .
find the cat .,temukan kucing itu .
good morning .,selamat pagi .
happy easter !,selamat hari paskah !
has tom gone ?,sudahkah tom pergi ?
he loves her .,dia mencintainya .
he was naive .,dia naif .
how dare you !,berani-beraninya !
how horrible !,mengerikan sekali !
i am ashamed .,aku malu .
i am curious .,aku ingin tahu .
i am curious .,aku penasaran .
i cannot hear .,saya tidak bisa mendengar .
i cannot move .,aku tidak bisa bergerak .
i cannot read .,aku tidak bisa membaca .
i cannot read .,saya tidak bisa membaca .
i cannot surf .,aku tidak bisa berselancar .
i cannot talk .,saya tidak bisa berbicara .
i cannot talk .,aku tidak bisa berbicara .
i do not care .,saya tidak peduli .
i do not care .,aku tidak peduli .
i do not care .,gue gak peduli .
i do not know .,saya tidak tahu .
i do not know .,aku tidak tahu .
i feel tired .,aku merasa capek .
i have a cat .,aku punya kucing .
i have a dog .,saya punya anjing .
i hugged tom .,aku memeluk tom .
i hugged her .,aku memeluk dia .
i hugged her .,aku memeluknya .
i keep a dog .,saya memelihara seekor anjing .
i lived here .,saya tinggal di sini .
i must study .,aku harus belajar .
i need a pan .,aku perlu wajan .
i need money .,aku perlu uang .
i saw a deer .,saya melihat seekor rusa .
i saw a deer .,aku melihat seekor rusa .
i see a deer .,saya melihat seekor rusa .
i see a deer .,aku melihat seekor rusa .
i sell fruit .,saya menjual buah-buahan .
i smelled it .,aku menciumnya .
i teach here .,saya mengajar di sini .
i understand .,aku mengerti .
i understand .,saya mengerti .
i want to go .,saya ingin pergi .
i was let in .,aku dibiarkan masuk .
i will not lose !,aku tidak akan kalah !
i am  sure .,aku  yakin .
i am a doctor .,saya dokter .
i am a person .,aku orang .
i am confused .,aku bingung .
i am confused .,saya bingung .
i am famished .,aku sangat lapar .
i am innocent .,aku tidak bersalah .
i am not dumb .,aku tidak dungu .
i am not here .,aku tidak berada di sini .
i am not sure .,aku tidak yakin .
i am pregnant .,saya sedang hamil .
i am pregnant .,saya hamil .
i am so happy .,aku seneng banget .
i am so sorry .,saya sangat menyesal .
i am starving .,aku kelaparan .
i am studying .,saya lagi belajar .
i am the best .,saya yang terbaik .
i am the last .,aku yang terakhir .
i am the last .,akulah yang terakhir .
i am too busy .,saya terlalu sibuk .
i am too fast .,aku terlalu cepat .
i am too thin .,aku terlalu kurus .
i am worn out .,aku kelelahan .
is that true ?,apa itu benar ?
is this love ?,apakah ini cinta ?
is this true ?,apa ini benar ?
is this true ?,apakah ini benar ?
it was tom is .,itu dulu milik tom .
it was a lie .,itu bohong .
it was clear .,tadi itu jelas .
it is my duty .,ini kewajiban saya .
it is my ship .,ini kapalku .
it is my ship .,itu kapalku .
it is no joke .,ini bukan lelucon .
it is obvious .,itu jelas .
it is raining .,sedang turun hujan .
it is so easy .,gampang banget .
it is so slow .,itu sangat lambat .
it is strange .,itu aneh .
it is strange .,ini aneh .
it is too big .,itu terlalu besar .
jump over it .,lompati itu !
keep driving .,teruslah mengemudi .
keep reading .,teruslah membaca .
knock it off .,sudah hentikan .
let me alone .,biarkan aku sendiri .
let is try it .,mari kita mencobanya .
listen to me .,dengarkan saya .
listen to me .,dengarkan aku .
look at this .,lihat ini .
my feet hurt .,kakiku sakit .
no one cared .,tidak ada yang peduli .
no one cares .,tidak ada satupun yang peduli .
no one cares .,tidak ada yang peduli .
nobody cares .,tidak ada yang peduli .
open the box .,bukalah kotak itu .
open the box .,buka kotak itu .
open the box .,buka kotaknya .
please hurry !,cepatlah !
set tom free .,bebaskan tom .
she has wine .,dia memiliki anggur .
she is eight .,dia delapan tahun .
she is wrong .,dia salah .
show me that .,perlihatkan itu padaku .
stay at home .,tinggallah di rumah !
stop the car .,hentikan mobilnya .
sweet dreams !,mimpi indah !
thanks a lot .,terima kasih banyak .
thanks a lot .,makasih banyak .
that is great !,itu bagus !
that is honey .,itu madu .
that is right !,tepat sekali !
that is right .,itu benar .
that is weird .,itu aneh .
they know us .,mereka mengenal kita .
this is easy .,ini gampang
this is food .,ini makanan .
this is food .,ini adalah makanan .
this is life !,ini adalah kehidupan !
today is hot .,hari ini panas .
tom fixed it .,tom memperbaiki itu .
tom fixed it .,tom membetulkannya .
tom has some .,tom punya beberapa .
tom hates me .,tom membenciku .
tom insisted .,tom memaksa .
tom is crazy .,tom gila .
tom is cruel .,tom itu kejam .
tom is dying .,tom sekarat .
tom is naked .,tom telanjang .
tom is right .,tom benar .
tom is short .,tom pendek .
tom is smart .,tom pintar .
tom is tense .,tom tidak tenang .
tom is wrong .,tom salah .
tom liked it .,tom menyukainya .
tom likes it .,tom menyukainya .
tom needs it .,tom membutuhkannya .
tom panicked .,tom panik .
tom saw mary .,tom melihat mary .
tom saw them .,tom melihat mereka .
tom stutters .,tom berbicara dengan gagap .
tom threw up .,tom muntah .
tom was bald .,tom botak .
tom was fine .,tom dalam keadaan baik .
tom was good .,tom dalam keadaan baik .
tom whistled .,tom bersiul .
tom is asleep .,tom sedang tidur .
tom is crying .,tom menangis .
tom is hungry .,tom lapar .
tom is insane .,tom gila .
tom is polite .,tom itu ramah .
tom is scared .,tom takut .
tom is strict .,tom itu keras .
tom is stupid .,tom bodoh .
try and swim !,cobalah berenang !
unbelievable !,luar biasa !
wait and see .,lihat saja nanti !
we apologize .,kami mohon maaf .
we must wait .,kita harus menunggu .
we need rain .,kami butuh hujan .
we will fix it .,kami akan memperbaikinya .
we are hungry .,kami lapar .
we are trying .,kami sedang mencoba .
what is rain ?,apa itu hujan ?
what is this ?,ini apa ?
what is this ?,apa ini ?
what is a ufo ?,apa itu ufo ?
you go first .,kamu duluan .
you hurt him .,kamu menyakiti dia .
you hurt him .,kamu menyakitinya .
you are drunk .,kamu mabuk .
you are fools .,kamu bodoh .
you are tired .,kamu lelah .
you are wrong .,kamu salah .
you are young .,kamu muda .
add some salt .,tambahkan sedikit garam .
any questions ?,ada pertanyaan ?
anything else ?,ada lagi ?
anything else ?,ada yang lain ?
are you happy ?,apa kamu senang ?
are you happy ?,apa anda bahagia ?
are you ready ?,kamu siap ?
are you ready ?,kalian siap ?
are you tired ?,kamu capek ?
"check ,  please .",tolong bonnya .
come back now .,kembalilah sekarang .
cook the rice .,masaklah nasinya !
do cats dream ?,apakah kucing bermimpi ?
do you get it ?,apa kamu paham ?
do you see it ?,apa kamu melihatnya ?
do not give up .,jangan menyerah .
do not go away .,jangan pergi .
do not mock me .,jangan mengejekku .
eat something .,makanlah sesuatu .
feed the bird .,beri makan burungnya !
feed the bird .,beri makan burungnya .
get over here .,kemari .
get well soon .,semoga lekas sembuh .
get your gear .,ambil perlengkapanmu .
give it to me .,berikan padaku .
god bless you !,tuhan memberkatimu !
he ignored me .,dia tidak menghiraukanku .
he is running .,dia sedang berlari .
he kissed her .,dia menciumnya .
he seems sick .,dia tampak sakit .
he seems sick .,dia nampaknya sedang sakit .
he seems sick .,dia terlihat sakit .
he sells cars .,dia menjual mobil .
he shot at me .,dia menembak ke arahku .
he is friendly .,dia ramah .
he is too busy .,dia terlalu sibuk .
he is your son .,dia anak laki-lakimu .
he is your son .,dia anakmu .
help the poor .,bantulah orang-orang miskin .
"hi ,  everybody .","hai ,  semuanya !"
his nose bled .,dia mimisan .
hold the rope .,pegang tali itu .
how do you do ?,apa kabar ?
how do you do ?,bagaimana kabar anda ?
i am a muslim .,saya seorang muslim .
i ate a donut .,aku makan donat .
i believe you .,aku percaya kamu
i can do that .,aku bisa melakukannya .
i can see tom .,aku bisa melihat tom .
i cannot do it .,aku tidak bisa melakukannya .
i cannot drive .,saya tidak bisa mengemudi .
i cannot drive .,aku tidak bisa menyetir .
i cannot sleep .,aku tidak bisa tidur .
i cannot smoke .,aku tidak boleh merokok .
i cannot stand .,aku tidak bisa berdiri .
i do not smoke .,aku tidak merokok .
i do not smoke .,saya tidak merokok .
i feel hungry .,aku merasa lapar .
i got nothing .,aku tidak mendapat apa-apa .
i hate boston .,aku benci boston .
i have a home .,aku punya tempat tinggal .
i have a twin .,aku punya saudara kembar .
i have bleach .,saya punya pemutih .
i have failed .,aku sudah gagal .
i have failed .,aku telah gagal .
i have sinned .,aku telah berdosa .
i have to eat .,aku harus makan .
i kid you not .,aku tidak bercanda .
i like apples .,aku suka apel .
i like coffee .,aku suka kopi .
i like grapes .,aku suka buah anggur .
i like grapes .,aku suka anggur .
i like yellow .,aku suka warna kuning .
i live nearby .,saya tinggal dekat sini .
i looked away .,aku memalingkan wajahku .
i miss my cat .,aku rindu kucingku .
i must refuse .,aku harus menolak .
i must see it .,saya harus melihatnya .
i need a lamp .,aku butuh sebuah lampu .
i need to eat .,aku harus makan .
i play tennis .,aku bermain tenis .
i play violin .,aku bermain biola .
i saw nothing .,aku tidak melihat apa-apa .
i see nothing .,aku tidak melihat apa-apa .
i surrendered .,aku menyerah .
i surrendered .,saya menyerah .
i tricked you .,aku menipumu .
i use twitter .,saya menggunakan twitter .
i want to die .,aku ingin mati .
i was a rebel .,dulu saya seorang pemberontak .
i went inside .,saya masuk ke dalam .
i will go there .,aku akan pergi ke sana .
i will kill you .,aku akan membunuhmu .
i am a teacher .,saya seorang guru .
i am beautiful .,aku cantik .
"i am busy ,  too .",aku juga sibuk .
i am exhausted .,aku kelelahan .
i am expecting .,saya sedang hamil .
i am expecting .,saya hamil .
i am not blind .,saya tidak buta .
i am not ready .,saya belum siap .
i am on a diet .,aku sedang melakukan diet .
i am satisfied .,aku puas .
i am so hungry .,aku sangat lapar .
i am too drunk .,aku terlalu mabuk .
i am too young .,aku terlalu muda .
i have tried it .,aku sudah mencobanya .
is it raining ?,hujankah ?
is it raining ?,apa sedang hujan ?
is that a cat ?,apakah itu seekor kucing .
is that right ?,apa itu benar ?
is that wrong ?,apa itu salah ?
is not that so ?,bukankah begitu ?
it is raining .,sedang turun hujan .
it was a hoax .,itu cerita bohong .
it is a secret .,itu rahasia .
it is for sale .,ini dijual .
it is for sale .,ini untuk dijual .
it is unstable .,itu tidak stabil .
it is upstairs .,ada di lantai atas .
just trust me .,sudah percaya saja padaku .
kick the ball .,tendang bolanya .
let go of tom .,lepaskan tom !
let go of tom .,lepaskan tom .
let me see it .,biarkan aku melihatnya .
let me try it .,biarkan aku mencobanya .
let is do that .,mari kita melakukannya .
let is go back .,ayo kembali .
look in there .,lihat ke dalam situ .
love is blind .,cinta itu buta .
love is crazy .,cinta itu gila .
milk is white .,susu berwarna putih .
my head hurts .,kepalaku sakit .
no one called .,tidak ada yang menelepon .
no one phoned .,tidak ada yang menelepon .
no one saw us .,tidak ada yang melihat kita .
"no ,  thank you .","tidak ,  terima kasih ."
nobody called .,tidak ada yang menelepon .
"oh ,  i am sorry .","oh ,  maaf ."
open the door .,buka pintunya .
our team lost .,tim kami kalah .
"quiet ,  please .",harap tenang .
remain seated .,tetaplah duduk .
